,ligand_ID,ligands,bind_site,smiles_0,smiles_1
0,0,Cc1cc2ccccc2c(-c2c([O-])c(C)cc3ccccc23)c1[O-],"[12, 13]",[C:1]([c:2]1[c:3]([H:46])[c:4]2[c:5]([H:47])[c:6]([H:48])[c:7]([H:49])[c:8]([H:50])[c:9]2[c:10]2-[c:42]3[c:32]([O-:31]->[Ni:13]4(<-[O-:12][c:11]12)[O:14][C:15](=[O:16])[C:17]([c:18]1[c:19]([H:52])[c:20]([H:53])[c:21]([H:54])[c:22]([H:55])[c:23]1[H:56])([H:51])[N:24]4[c:25]1[c:26]([H:57])[c:27]([H:58])[c:28]([H:59])[c:29]([H:60])[c:30]1[H:61])[c:33]([C:34]([H:62])([H:63])[H:64])[c:35]([H:65])[c:36]1[c:37]([H:66])[c:38]([H:67])[c:39]([H:68])[c:40]([H:69])[c:41]13)([H:43])([H:44])[H:45],[C:1]([c:2]1[c:3]([H:46])[c:4]2[c:5]([H:47])[c:6]([H:48])[c:7]([H:49])[c:8]([H:50])[c:9]2[c:10]2-[c:42]3[c:32]([O-:31]->[Ni:13]4(<-[O-:12][c:11]12)[O:14][C:15](=[O:16])[N:17]([c:18]1[c:19]([H:51])[c:20]([H:52])[c:21]([H:53])[c:22]([H:54])[c:23]1[H:55])[C:24]4([c:25]1[c:26]([H:57])[c:27]([H:58])[c:28]([H:59])[c:29]([H:60])[c:30]1[H:61])[H:56])[c:33]([C:34]([H:62])([H:63])[H:64])[c:35]([H:65])[c:36]1[c:37]([H:66])[c:38]([H:67])[c:39]([H:68])[c:40]([H:69])[c:41]13)([H:43])([H:44])[H:45]
1,0,CN(CCN(C)Cc1ccccc1)Cc1ccccc1,"[0, 4]",[C:1]([N:2]1([C:3]([c:4]2[c:5]([H:44])[c:6]([H:45])[c:7]([H:46])[c:8]([H:47])[c:9]2[H:48])([H:42])[H:43])[C:10]([C:11]([N:12]([C:13]([H:53])([H:54])[H:55])([C:14]([c:15]2[c:16]([H:58])[c:17]([H:59])[c:18]([H:60])[c:19]([H:61])[c:20]2[H:62])([H:56])[H:57])->[Ni:21]<-12[O:22][C:23](=[O:24])[C:25]([c:26]1[c:27]([H:64])[c:28]([H:65])[c:29]([H:66])[c:30]([H:67])[c:31]1[H:68])([H:63])[N:32]2[c:33]1[c:34]([H:69])[c:35]([H:70])[c:36]([H:71])[c:37]([H:72])[c:38]1[H:73])([H:51])[H:52])([H:49])[H:50])([H:39])([H:40])[H:41],[C:1]([N:2]1([C:3]([c:4]2[c:5]([H:44])[c:6]([H:45])[c:7]([H:46])[c:8]([H:47])[c:9]2[H:48])([H:42])[H:43])[C:10]([C:11]([N:12]([C:13]([H:53])([H:54])[H:55])([C:14]([c:15]2[c:16]([H:58])[c:17]([H:59])[c:18]([H:60])[c:19]([H:61])[c:20]2[H:62])([H:56])[H:57])->[Ni:21]<-12[O:22][C:23](=[O:24])[N:25]([c:26]1[c:27]([H:63])[c:28]([H:64])[c:29]([H:65])[c:30]([H:66])[c:31]1[H:67])[C:32]2([c:33]1[c:34]([H:69])[c:35]([H:70])[c:36]([H:71])[c:37]([H:72])[c:38]1[H:73])[H:68])([H:51])[H:52])([H:49])[H:50])([H:39])([H:40])[H:41]
2,2,CN(CCN(C)Cc1c2ccccc2cc2ccccc12)Cc1c2ccccc2cc2ccccc12,"[1, 4]",[C:1]([N:2]1([C:3]([c:4]2[c:5]3[c:6]([H:60])[c:7]([H:61])[c:8]([H:62])[c:9]([H:63])[c:10]3[c:11]([H:64])[c:12]3[c:13]([H:65])[c:14]([H:66])[c:15]([H:67])[c:16]([H:68])[c:17]23)([H:58])[H:59])[C:18]([C:19]([N:20]([C:21]([H:73])([H:74])[H:75])([C:22]([c:23]2[c:24]3[c:25]([H:78])[c:26]([H:79])[c:27]([H:80])[c:28]([H:81])[c:29]3[c:30]([H:82])[c:31]3[c:32]([H:83])[c:33]([H:84])[c:34]([H:85])[c:35]([H:86])[c:36]23)([H:76])[H:77])->[Ni:37]<-12[O:38][C:39](=[O:40])[C:41]([c:42]1[c:43]([H:88])[c:44]([H:89])[c:45]([H:90])[c:46]([H:91])[c:47]1[H:92])([H:87])[N:48]2[c:49]1[c:50]([H:93])[c:51]([H:94])[c:52]([H:95])[c:53]([H:96])[c:54]1[H:97])([H:71])[H:72])([H:69])[H:70])([H:55])([H:56])[H:57],[C:1]([N:2]1([C:3]([c:4]2[c:5]3[c:6]([H:60])[c:7]([H:61])[c:8]([H:62])[c:9]([H:63])[c:10]3[c:11]([H:64])[c:12]3[c:13]([H:65])[c:14]([H:66])[c:15]([H:67])[c:16]([H:68])[c:17]23)([H:58])[H:59])[C:18]([C:19]([N:20]([C:21]([H:73])([H:74])[H:75])([C:22]([c:23]2[c:24]3[c:25]([H:78])[c:26]([H:79])[c:27]([H:80])[c:28]([H:81])[c:29]3[c:30]([H:82])[c:31]3[c:32]([H:83])[c:33]([H:84])[c:34]([H:85])[c:35]([H:86])[c:36]23)([H:76])[H:77])->[Ni:37]<-12[O:38][C:39](=[O:40])[N:41]([c:42]1[c:43]([H:87])[c:44]([H:88])[c:45]([H:89])[c:46]([H:90])[c:47]1[H:91])[C:48]2([c:49]1[c:50]([H:93])[c:51]([H:94])[c:52]([H:95])[c:53]([H:96])[c:54]1[H:97])[H:92])([H:71])[H:72])([H:69])[H:70])([H:55])([H:56])[H:57]
3,12,c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,"[0, 19]",[O:1]=[C:2]1[O:3][Ni:4]2([N:5]([c:6]3[c:7]([H:51])[c:8]([H:52])[c:9]([H:53])[c:10]([H:54])[c:11]3[H:55])[C:12]1([c:13]1[c:14]([H:57])[c:15]([H:58])[c:16]([H:59])[c:17]([H:60])[c:18]1[H:61])[H:56])[P:19]([c:20]1[c:21]([H:63])[c:22]([H:64])[c:23]([H:65])[c:24]([H:66])[c:25]1[H:67])([c:26]1[c:27]([H:68])[c:28]([H:69])[c:29]([H:70])[c:30]([H:71])[c:31]1[H:72])([H:62])[c:32]1[c:33]([H:73])[c:34]([H:74])[c:35]([H:75])[c:36]([H:76])[c:37]1[P:38]2([c:39]1[c:40]([H:78])[c:41]([H:79])[c:42]([H:80])[c:43]([H:81])[c:44]1[H:82])([c:45]1[c:46]([H:83])[c:47]([H:84])[c:48]([H:85])[c:49]([H:86])[c:50]1[H:87])[H:77],[O:1]=[C:2]1[O:3][Ni:4]2([C:5]([c:6]3[c:7]([H:52])[c:8]([H:53])[c:9]([H:54])[c:10]([H:55])[c:11]3[H:56])([H:51])[N:12]1[c:13]1[c:14]([H:57])[c:15]([H:58])[c:16]([H:59])[c:17]([H:60])[c:18]1[H:61])[P:19]([c:20]1[c:21]([H:63])[c:22]([H:64])[c:23]([H:65])[c:24]([H:66])[c:25]1[H:67])([c:26]1[c:27]([H:68])[c:28]([H:69])[c:29]([H:70])[c:30]([H:71])[c:31]1[H:72])([H:62])[c:32]1[c:33]([H:73])[c:34]([H:74])[c:35]([H:75])[c:36]([H:76])[c:37]1[P:38]2([c:39]1[c:40]([H:78])[c:41]([H:79])[c:42]([H:80])[c:43]([H:81])[c:44]1[H:82])([c:45]1[c:46]([H:83])[c:47]([H:84])[c:48]([H:85])[c:49]([H:86])[c:50]1[H:87])[H:77]
4,17,CC(=CC(C)=Nc1c(C)cccc1C)[N-]c1c(C)cccc1C,"[5, 14]",[C:1]([C:2]1=[C:3]([C:4]([C:5]([H:46])([H:47])[H:48])=[N:6]([c:7]2[c:8]([C:9]([H:49])([H:50])[H:51])[c:10]([H:52])[c:11]([H:53])[c:12]([H:54])[c:13]2[C:14]([H:55])([H:56])[H:57])->[Ni:15]2(<-[N-:33]1[c:34]1[c:35]([C:36]([H:69])([H:70])[H:71])[c:37]([H:72])[c:38]([H:73])[c:39]([H:74])[c:40]1[C:41]([H:75])([H:76])[H:77])[O:16][C:17](=[O:18])[C:19]([c:20]1[c:21]([H:59])[c:22]([H:60])[c:23]([H:61])[c:24]([H:62])[c:25]1[H:63])([H:58])[N:26]2[c:27]1[c:28]([H:64])[c:29]([H:65])[c:30]([H:66])[c:31]([H:67])[c:32]1[H:68])[H:45])([H:42])([H:43])[H:44],[C:1]([C:2]1=[C:3]([C:4]([C:5]([H:46])([H:47])[H:48])=[N:6]([c:7]2[c:8]([C:9]([H:49])([H:50])[H:51])[c:10]([H:52])[c:11]([H:53])[c:12]([H:54])[c:13]2[C:14]([H:55])([H:56])[H:57])->[Ni:15]2(<-[N-:33]1[c:34]1[c:35]([C:36]([H:69])([H:70])[H:71])[c:37]([H:72])[c:38]([H:73])[c:39]([H:74])[c:40]1[C:41]([H:75])([H:76])[H:77])[O:16][C:17](=[O:18])[N:19]([c:20]1[c:21]([H:58])[c:22]([H:59])[c:23]([H:60])[c:24]([H:61])[c:25]1[H:62])[C:26]2([c:27]1[c:28]([H:64])[c:29]([H:65])[c:30]([H:66])[c:31]([H:67])[c:32]1[H:68])[H:63])[H:45])([H:42])([H:43])[H:44]
6,21,[NH-]c1ccccc1[NH-],"[0, 7]",[O:1]=[C:2]1[O:3][Ni:4]2(<-[N-:5]([c:6]3[c:7]([H:28])[c:8]([H:29])[c:9]([H:30])[c:10]([H:31])[c:11]3[N-:12]->2[H:32])[H:27])[N:13]([c:14]2[c:15]([H:33])[c:16]([H:34])[c:17]([H:35])[c:18]([H:36])[c:19]2[H:37])[C:20]1([c:21]1[c:22]([H:39])[c:23]([H:40])[c:24]([H:41])[c:25]([H:42])[c:26]1[H:43])[H:38],[O:1]=[C:2]1[O:3][Ni:4]2(<-[N-:5]([c:6]3[c:7]([H:28])[c:8]([H:29])[c:9]([H:30])[c:10]([H:31])[c:11]3[N-:12]->2[H:32])[H:27])[C:13]([c:14]2[c:15]([H:34])[c:16]([H:35])[c:17]([H:36])[c:18]([H:37])[c:19]2[H:38])([H:33])[N:20]1[c:21]1[c:22]([H:39])[c:23]([H:40])[c:24]([H:41])[c:25]([H:42])[c:26]1[H:43]
7,22,[CH2-]c1ccccc1C([CH2-])(C)C,"[3, 4]",[C:1]([C:2]1([C:3]([H:33])([H:34])[H:35])[C-:4](->[Ni:5]2(<-[C-:6]([c:7]3[c:8]([H:40])[c:9]([H:41])[c:10]([H:42])[c:11]([H:43])[c:12]31)([H:38])[H:39])[O:13][C:14](=[O:15])[C:16]([c:17]1[c:18]([H:45])[c:19]([H:46])[c:20]([H:47])[c:21]([H:48])[c:22]1[H:49])([H:44])[N:23]2[c:24]1[c:25]([H:50])[c:26]([H:51])[c:27]([H:52])[c:28]([H:53])[c:29]1[H:54])([H:36])[H:37])([H:30])([H:31])[H:32],[C:1]([C:2]1([C:3]([H:33])([H:34])[H:35])[C-:4](->[Ni:5]2(<-[C-:6]([c:7]3[c:8]([H:40])[c:9]([H:41])[c:10]([H:42])[c:11]([H:43])[c:12]31)([H:38])[H:39])[O:13][C:14](=[O:15])[N:16]([c:17]1[c:18]([H:44])[c:19]([H:45])[c:20]([H:46])[c:21]([H:47])[c:22]1[H:48])[C:23]2([c:24]1[c:25]([H:50])[c:26]([H:51])[c:27]([H:52])[c:28]([H:53])[c:29]1[H:54])[H:49])([H:36])[H:37])([H:30])([H:31])[H:32]
8,24,CC(N=Cc1ccccc1[O-])c1ccccc1,"[8, 16]",[C:1]([C:2]([c:3]1[c:4]([H:40])[c:5]([H:41])[c:6]([H:42])[c:7]([H:43])[c:8]1[H:44])([N:9]1=[C:10]([c:11]2[c:12]([H:46])[c:13]([H:47])[c:14]([H:48])[c:15]([H:49])[c:16]2[O-:17]->[Ni:18]<-12[O:19][C:20](=[O:21])[C:22]([c:23]1[c:24]([H:51])[c:25]([H:52])[c:26]([H:53])[c:27]([H:54])[c:28]1[H:55])([H:50])[N:29]2[c:30]1[c:31]([H:56])[c:32]([H:57])[c:33]([H:58])[c:34]([H:59])[c:35]1[H:60])[H:45])[H:39])([H:36])([H:37])[H:38],[C:1]([C:2]([c:3]1[c:4]([H:40])[c:5]([H:41])[c:6]([H:42])[c:7]([H:43])[c:8]1[H:44])([N:9]1=[C:10]([c:11]2[c:12]([H:46])[c:13]([H:47])[c:14]([H:48])[c:15]([H:49])[c:16]2[O-:17]->[Ni:18]<-12[O:19][C:20](=[O:21])[N:22]([c:23]1[c:24]([H:50])[c:25]([H:51])[c:26]([H:52])[c:27]([H:53])[c:28]1[H:54])[C:29]2([c:30]1[c:31]([H:56])[c:32]([H:57])[c:33]([H:58])[c:34]([H:59])[c:35]1[H:60])[H:55])[H:45])[H:39])([H:36])([H:37])[H:38]
11,29,c1ccc([N-]CCC[N-]c2ccccc2)cc1,"[0, 4]",[O:1]=[C:2]1[O:3][Ni:4]2(<-[N-:19]([c:20]3[c:21]([H:47])[c:22]([H:48])[c:23]([H:49])[c:24]([H:50])[c:25]3[H:51])[C:26]([C:27]([C:28]([N-:29]->2[c:30]2[c:31]([H:58])[c:32]([H:59])[c:33]([H:60])[c:34]([H:61])[c:35]2[H:62])([H:56])[H:57])([H:54])[H:55])([H:52])[H:53])[N:5]([c:6]2[c:7]([H:36])[c:8]([H:37])[c:9]([H:38])[c:10]([H:39])[c:11]2[H:40])[C:12]1([c:13]1[c:14]([H:42])[c:15]([H:43])[c:16]([H:44])[c:17]([H:45])[c:18]1[H:46])[H:41],[O:1]=[C:2]1[O:3][Ni:4]2(<-[N-:19]([c:20]3[c:21]([H:47])[c:22]([H:48])[c:23]([H:49])[c:24]([H:50])[c:25]3[H:51])[C:26]([C:27]([C:28]([N-:29]->2[c:30]2[c:31]([H:58])[c:32]([H:59])[c:33]([H:60])[c:34]([H:61])[c:35]2[H:62])([H:56])[H:57])([H:54])[H:55])([H:52])[H:53])[C:5]([c:6]2[c:7]([H:37])[c:8]([H:38])[c:9]([H:39])[c:10]([H:40])[c:11]2[H:41])([H:36])[N:12]1[c:13]1[c:14]([H:42])[c:15]([H:43])[c:16]([H:44])[c:17]([H:45])[c:18]1[H:46]
